human_baseline_summaries,original_model_summaries,peft_model_summaries
Ms. Dawson helps #Person1# to write a memo to inform every employee that they have to change the communication method and should not use Instant Messaging anymore.,"Person 1: Ms. Dawson, I need you to take a dictation for me.
Person 2: Yes, sir...
Person 1: This should go out as an intra-office memorandum to all employees by this afternoon. Are you ready?
Person 2: Yes, sir. Go ahead.
Person 1: Attention all staff... Effective immediately, all office communications are restricted to email correspondence and official memos. The use of Instant Message programs by employees during working hours is strictly prohibited.","#Person1# asks Ms. Dawson to take a dictation for #Person1#. #Person1# tells Ms. Dawson that all office communications are restricted to email correspondence and official memos. Ms. Dawson asks if this applies to external communications. #Person1# says it should apply to all communications. #Person1# tells Ms. Dawson that any employee who persists in using Instant Messaging will face termination.
"
"In order to prevent employees from wasting time on Instant Message programs, #Person1# decides to terminate the use of those programs and asks Ms. Dawson to send out a memo to all employees by the afternoon.","Person 1: Ms. Dawson, I need you to take a dictation for me.
Person 2: Yes, sir...
Person 1: This should go out as an intra-office memorandum to all employees by this afternoon. Are you ready?
Person 2: Yes, sir. Go ahead.
Person 1: Attention all staff... Effective immediately, all office communications are restricted to email correspondence and official memos. The use of Instant Message programs by employees during working hours is strictly prohibited.","#Person1# asks Ms. Dawson to take a dictation for #Person1#. #Person1# then tells Ms. Dawson that all office communications are restricted to email correspondence and official memos. Ms. Dawson asks if this applies to external communications, and #Person1# says it should. #Person1# then tells Ms. Dawson the new policy and asks her to get the memo typed up and distributed to all employees.
"
Ms. Dawson takes a dictation for #Person1# about prohibiting the use of Instant Message programs in the office. They argue about its reasonability but #Person1# still insists.,"Person 1: Ms. Dawson, I need you to take a dictation for me.
Person 2: Yes, sir...
Person 1: This should go out as an intra-office memorandum to all employees by this afternoon. Are you ready?
Person 2: Yes, sir. Go ahead.
Person 1: Attention all staff... Effective immediately, all office communications are restricted to email correspondence and official memos. The use of Instant Message programs by employees during working hours is strictly prohibited.","#Person1# asks Ms. Dawson to take a dictation for him. #Person1# tells Ms. Dawson that all office communications are restricted to email correspondence and official memos. Ms. Dawson asks if this applies to external communications too. #Person1# says yes and tells Ms. Dawson that any employee who persists in using Instant Messaging will face termination. Ms. Dawson gets the memo typed up and distributed to all employees.
"
#Person2# arrives late because of traffic jam. #Person1# persuades #Person2# to use public transportations to keep healthy and to protect the environment.,"Person1 and Person2 are discussing the traffic congestion near the Carrefour intersection. Person2 explains that they got stuck in traffic again and suggests that Person1 consider taking public transport instead of driving. Person1 agrees that taking public transport would be better for the environment and suggests that Person2 start biking to work instead. Person2 agrees that biking would be a good way to get exercise and agrees to quit driving to work.
","#Person2# got stuck in traffic again and #Person1# suggests #Person2# take public transport or start biking to work. #Person2# agrees and will quit driving to work.

#Person1#: You're finally here! What took so long?
#Person2#: I got stuck in traffic again. There was a terrible traffic jam near the Carrefour intersection.
#Person1#: It's always rather congested down there during rush hour"
#Person2# decides to follow #Person1#'s suggestions on quitting driving to work and will try to use public transportations.,"Person2: I'm going to stop driving to work because it's bad for the environment.
","#Person2# got stuck in traffic again and #Person1# suggests #Person2# take public transport system to work. #Person2# agrees and will start biking to work.

#Person1#: It's always rather congested down there during rush hour. Maybe you should try to find a different route to get home.
#Person2#: I don't think it can be avoided, to be honest.
#Person1#: perhaps it would be better"
"#Person2# complains to #Person1# about the traffic jam, #Person1# suggests quitting driving and taking public transportation instead.","Person1 and Person2 are discussing the traffic congestion near the Carrefour intersection. Person2 explains that they got stuck in traffic again and suggests that Person1 should consider taking a different route to work. Person1 agrees that it might be a good idea and suggests that Person2 could start taking public transport instead. Person2 acknowledges the benefits of public transport but expresses concerns about the freedom they would lose by not having a car. Person1 suggests that Person2 could start biking to work instead, which","#Person2# got stuck in traffic again and #Person1# suggests #Person2# take public transport or start biking to work. #Person2# agrees and will quit driving to work.

#Person1#: You're finally here! What took so long?
#Person2#: I got stuck in traffic again. There was a terrible traffic jam near the Carrefour intersection.
#Person1#: It's always rather congested down there during rush hour"
#Person1# tells Kate that Masha and Hero get divorced. Kate is surprised because she thought they are perfect couple.,"Kate informed that Masha and Hero are getting divorced and will be living separately for 2 months. They have already filed for divorce and have worked out the details without any conflict. The divorce is expected to be finalized in early 2021.
","Masha and Hero are getting divorced. Masha tells Kate that they are having a separation for 2 months and have worked out the details of the divorce. Kate is surprised.

#Person1#: That's the change from all the back stepping we usually hear about. Well, I still can't believe it, Masha and Hero, the perfect couple. When would they divorce be final?
#Person2#: Early in the New Year I guess.

#Person1"
#Person1# tells Kate that Masha and Hero are getting a peaceful divorce. Kate feels surprised and asks about their kids.,"Kate informed that Masha and Hero are getting divorced and will be living separately for 2 months. They have already filed for divorce and have worked out the details without any conflict. The divorce is expected to be finalized in early 2021.
","Masha and Hero are getting divorced. Masha tells Kate the details and Kate can't believe it.
"
#Person1# and Kate talk about the divorce between Masha and Hero. Kate feels surprised because she thought they are well matched,"Kate informed that Masha and Hero are getting divorced and will be living separately for 2 months. They have already filed for divorce and have agreed on the custody of their children. The divorce will be finalized in the early months of the new year.
","Masha and Hero are getting divorced. Masha tells Kate that they have a separation for 2 months and have worked out the details of the divorce. Kate is surprised.

#Person1#: That's the change from all the back stepping we usually hear about. Well, I still can't believe it, Masha and Hero, the perfect couple. When would they divorce be final?
#Person2#: Early in the New Year I guess.

#Person1#"
#Person1# and Brian are at the birthday party of Brian. Brian thinks #Person1# looks great and is popular.,"Person1 and Person2 are at a party, and Person1 asks if they can have a dance. Person2 agrees and compliments Person1 on their appearance. Person1 thanks them and expresses their enjoyment of the party. Person2 agrees that it is a great party and suggests having a drink to celebrate.
","#Person1# gives Brian a birthday gift and invites him to dance. Brian thinks the party is wonderful and compliments #Person1#'s appearance. They decide to have a drink together to celebrate.

"
